,state,Total_No_of_Cases,Series_Of_People_Perc_Not_Vaccinated,Series_Complete_Yes,POP_12-17_Vaccinated,POP_18-65_Vaccinated,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_18Plus,Series_Complete_65Plus,Series_Of_People_Perc_Not_Vaccinated
0,AL,227619000,33.8,8330.0,290.0,5012.0,8249.0,7959.0,7959.0,2947.0,33.8
1,AZ,335116334,5.0,52184.0,7730.0,31961.0,49077.0,41347.0,41347.0,9386.0,5.0
2,CA,1120957241,7.400000000000006,167861.0,20007.0,109798.0,152979.0,132972.0,132972.0,23174.0,7.400000000000006
3,CO,212428500,5.200000000000003,690.0,29.0,468.0,662.0,633.0,633.0,165.0,5.200000000000003
4,CT,122217046,16.700000000000003,135339.0,8577.0,87627.0,130295.0,121718.0,121718.0,34091.0,16.700000000000003
5,DE,41389793,31.200000000000003,384271.0,28346.0,256995.0,368564.0,340218.0,340218.0,83223.0,31.200000000000003
6,GA,455750326,5.0,28639.0,828.0,27178.0,28416.0,27588.0,27588.0,410.0,5.0
7,ID,77920744,17.900000000000006,18904.0,1425.0,11930.0,18245.0,16820.0,16820.0,4890.0,17.900000000000006
8,IL,526709410,21.799999999999997,544752.0,50125.0,367013.0,511630.0,461505.0,461505.0,94492.0,21.799999999999997
9,KY,196877751,33.400000000000006,215121.0,14031.0,150099.0,205944.0,191913.0,191913.0,41814.0,33.400000000000006
10,MA,263687704,20.599999999999994,1279698.0,96089.0,874177.0,1202062.0,1105973.0,1105973.0,231796.0,20.599999999999994
11,ME,27179107,12.400000000000006,258378.0,16973.0,170239.0,244600.0,227627.0,227627.0,57388.0,12.400000000000006
12,MI,370798873,18.0,17849.0,987.0,9935.0,17574.0,16587.0,16587.0,6652.0,18.0
13,MS,137482900,29.0,4963.0,406.0,3274.0,4732.0,4326.0,4326.0,1052.0,29.0
14,MT,46501854,10.700000000000003,11890.0,1675.0,7618.0,11272.0,9597.0,9597.0,1979.0,10.700000000000003
15,NC,404261048,21.099999999999994,117122.0,9306.0,76837.0,109874.0,100568.0,100568.0,23731.0,21.099999999999994
16,NE,33848104,33.3,212821.0,16723.0,141824.0,202266.0,185543.0,185543.0,43719.0,33.3
17,NJ,367008204,22.200000000000003,522847.0,33669.0,397168.0,497510.0,463841.0,463841.0,66673.0,22.200000000000003
18,OH,441524963,24.900000000000006,157054.0,14629.0,102905.0,146368.0,131739.0,131739.0,28834.0,24.900000000000006
19,OK,186260481,34.400000000000006,18863.0,1474.0,11944.0,18386.0,16912.0,16912.0,4968.0,34.400000000000006
20,OR,88800645,15.099999999999994,19848.0,1671.0,13324.0,18794.0,17123.0,17123.0,3799.0,15.099999999999994
21,PR,53292640,5.0,1678.0,92.0,1160.0,1595.0,1503.0,1503.0,343.0,5.0
22,TN,350255205,31.700000000000003,8484.0,270.0,4974.0,8399.0,8129.0,8129.0,3155.0,31.700000000000003
23,UT,162285281,11.700000000000003,37224.0,3053.0,26004.0,35390.0,32337.0,32337.0,6333.0,11.700000000000003
24,VA,263623724,18.299999999999997,5687.0,370.0,3644.0,5612.0,5242.0,5242.0,1598.0,18.299999999999997
25,WI,263408721,17.299999999999997,451907.0,31612.0,312367.0,424310.0,392698.0,392698.0,80331.0,17.299999999999997
26,WY,26502914,7.700000000000003,21652.0,1266.0,15825.0,20726.0,19460.0,19460.0,3635.0,7.700000000000003
